id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8263291,2017-10-25T21:16:29Z,2017-10-25T22:49:47Z,,"Arch | Platform | Package | SHA256
i386 | Linux | [`telegraf-1.4.0_linux_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_i386.tar.gz) | `01d978e33a49d1fad0e1923bc60f31eb2750140f2a1737a5a1e2d1f2271f6a52`
i386 | Windows | [`telegraf-1.4.0_windows_i386.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_windows_i386.zip) | `857447c06a7460b5c6014656b79d22dea0a5f6d9c857113aa699946b3b7b8824`
s390x | Centos | [`telegraf-1.4.0-1.s390x.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.s390x.rpm) | `c4c80fd24d0031b72cbf539b1647f3e2e823f6b524feec88f5d2a717fbf4523c`
s390x | Debian | [`telegraf_1.4.0-1_s390x.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_s390x.deb) | `85e34528e110395bdad98f0c4c82c8f70ec60338b5ba34f62f80236c7aff75b8`
s390x | Linux | [`telegraf-1.4.0_linux_s390x.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_s390x.tar.gz) | `59f0d05d98fb5ff8edc798c3e6c69402b78cd43e9840a58d2e985d35028ea64f`
",https://api.github.com/users/danielnelson,1048079,danielnelson,https://api.github.com/repos/influxdata/telegraf/releases/7646243/assets,https://api.github.com/repos/influxdata/telegraf/releases/7646243,master,https://api.github.com/repos/influxdata/telegraf/tarball/1.4.0,https://github.com/influxdata/telegraf/releases/tag/1.4.0,https://api.github.com/repos/influxdata/telegraf/zipball/1.4.0,1.4.0,False,False
7584361,2017-08-31T04:19:06Z,2017-08-31T05:00:19Z,,"Arch | Platform | Package | SHA256
---| --- | --- | ---
amd64 | Centos | [`telegraf-1.4.0-0.rc4.x86_64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-0.rc4.x86_64.rpm) | `3ecc8264bd77ac55accd4cd77707880006cbfd518b5c03f5a9dcaa507d4ec1d0`
amd64 | Debian | [`telegraf_1.4.0~rc4-1_amd64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0~rc4-1_amd64.deb) | `65dc7b57a410dbe8ae3354c8128b97658f304df74e801115f1057a2785e3e7a0`
amd64 | FreeBSD | [`telegraf-1.4.0~rc4_freebsd_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0~rc4_freebsd_amd64.tar.gz) | `d42092f045f1d7a4732f3b10b3b48b838f6b0080b355bf21e9307a4a1e204367`
amd64 | Linux | [`telegraf-1.4.0~rc4_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0~rc4_linux_amd64.tar.gz) | `c50fcb489e989325156d4ca89eeb1923c4d6d253529306a3fba1f3557b7e64ed`
amd64 | Linux | [`telegraf-1.4.0~rc4-static_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0~rc4-static_linux_amd64.tar.gz) | `6985beb718ca73a47a9d4de1124c703a47985e3652e3461a456589770b6c9158`
amd64 | Windows | [`telegraf-1.4.0~rc4_windows_amd64.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0~rc4_windows_amd64.zip) | `c28f9dbcc4fb99d66bb4a9605bc03187c9cfc42cdb73a1fcfc14c2c127670c68`
arm64 | Centos | [`telegraf-1.4.0-0.rc4.arm64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-0.rc4.arm64.rpm) | `9fe73f30d1ea661471af5a1e4275edafa8334126cbce93f00e69d61e5fba024b`
arm64 | Debian | [`telegraf_1.4.0~rc4-1_arm64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0~rc4-1_arm64.deb) | `beb26d7c7d694c7dd5e3410d87c2d4ed865112218a783f3582d0b46d50626984`
arm64 | Linux | [`telegraf-1.4.0~rc4_linux_arm64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0~rc4_linux_arm64.tar.gz) | `d913f79adfacdd366319938174feefaef97b28e1b5df901df02049fc0297e53c`
